BuildingOccupancy,Bengkulu,Cilegon,Gorontalo
Government,151875.00,96906.00,149739.00
School,736334.00,96209.00,371707.00
Hospital,1477920.00,427598.00,217990.00
Health Facility (Puskesmas),127538.00,36173.00,94306.00
Sport Facility,400665.00,164589.00,339.00
University,388390.00,119733.00,93559.00
Railway Station,,504.00,
Bus Station,,56177.00,6571.00
Port,,,38174.00
Office,,880.00,42500.00
Emergency Response,150235.00,79719.00,2986.00
Religious Gathering,94793.00,28566.00,41768.00
Mixed-use,,39946.00,
Public Building,36758.00,,28775.00
